,Total_Insured,County_State,Total_Uninsured,Year,State_Code,County_Code,Poverty_percent_in_County,Total_Poverty_in_County,Uninsured_percent
0,43075,"Autauga County, AL",4002,2016,1,1,13.5,7444,8.500966502
1,148007,"Baldwin County, AL",17733,2016,1,3,11.7,24005,10.69928804
2,15745,"Barbour County, AL",2252,2016,1,5,29.9,6787,12.51319664
3,15358,"Bibb County, AL",1646,2016,1,7,20.1,4099,9.680075276
4,41382,"Blount County, AL",5704,2016,1,9,14.1,8033,12.11400416
5,6158,"Bullock County, AL",937,2016,1,11,32.6,2841,13.20648344
6,14262,"Butler County, AL",1703,2016,1,13,24.8,4880,10.66708425
7,82361,"Calhoun County, AL",10386,2016,1,15,17.1,19057,11.19820587
8,24111,"Chambers County, AL",2876,2016,1,17,19.9,6656,10.65698299
9,17524,"Cherokee County, AL",2366,2016,1,19,16.8,4273,11.89542484
10,31276,"Chilton County, AL",5181,2016,1,21,18.3,7960,14.21126258
11,8932,"Choctaw County, AL",1136,2016,1,23,22.7,2910,11.28327374
12,17279,"Clarke County, AL",2219,2016,1,25,29,6977,11.38065443
13,9117,"Clay County, AL",1416,2016,1,27,18.9,2495,13.4434634
14,10565,"Cleburne County, AL",1427,2016,1,29,17.2,2527,11.89959973
15,37836,"Coffee County, AL",4583,2016,1,31,14.4,7271,10.80412079
16,39272,"Colbert County, AL",4221,2016,1,33,16.7,8982,9.705010002
17,8346,"Conecuh County, AL",1225,2016,1,35,28.1,3464,12.79908056
18,7124,"Coosa County, AL",1097,2016,1,37,17.5,1801,13.34387544
19,25850,"Covington County, AL",3635,2016,1,39,19.6,7228,12.32830253
20,9944,"Crenshaw County, AL",1293,2016,1,41,20.5,2822,11.50662988
21,58152,"Cullman County, AL",8562,2016,1,43,14.9,12133,12.83388794
22,35930,"Dale County, AL",4460,2016,1,45,20.6,9936,11.04233721
23,29107,"Dallas County, AL",3369,2016,1,47,35.4,13987,10.37381451
24,48834,"DeKalb County, AL",9705,2016,1,49,20.5,14362,16.57869113
25,59189,"Elmore County, AL",5531,2016,1,51,13.5,10316,8.546044499
26,24236,"Escambia County, AL",3680,2016,1,53,23.3,8020,13.18240436
27,72757,"Etowah County, AL",9476,2016,1,55,17.5,17624,11.52335437
28,11567,"Fayette County, AL",1401,2016,1,57,20.3,3307,10.80351635
29,22732,"Franklin County, AL",3419,2016,1,59,20.1,6272,13.07406983
30,18130,"Geneva County, AL",2978,2016,1,61,20.9,5495,14.10839492
31,5918,"Greene County, AL",738,2016,1,63,34,2845,11.08774038
32,10623,"Hale County, AL",1341,2016,1,65,23.7,3495,11.20862588
33,11718,"Henry County, AL",1559,2016,1,67,18.7,3159,11.74211042
34,75863,"Houston County, AL",9498,2016,1,69,19.4,19878,11.12686121
35,36402,"Jackson County, AL",5240,2016,1,71,17.5,9007,12.5834494
36,493115,"Jefferson County, AL",53889,2016,1,73,15.3,98463,9.851664704
37,9625,"Lamar County, AL",1204,2016,1,75,18.6,2545,11.11829347
38,65870,"Lauderdale County, AL",7267,2016,1,77,15.2,13739,9.936147231
39,23401,"Lawrence County, AL",3804,2016,1,79,16.8,5530,13.98272376
40,122538,"Lee County, AL",14359,2016,1,81,18.3,28139,10.48890772
41,68309,"Limestone County, AL",8497,2016,1,83,12.8,11511,11.06293779
42,7316,"Lowndes County, AL",937,2016,1,85,31.7,3252,11.35344723
43,12333,"Macon County, AL",1435,2016,1,87,30,5183,10.42271935
44,272865,"Madison County, AL",26207,2016,1,89,13.5,47081,8.762772844
45,13983,"Marengo County, AL",1571,2016,1,91,25.8,5003,10.10029574
46,20549,"Marion County, AL",2644,2016,1,93,18.5,5386,11.39999138
47,67267,"Marshall County, AL",10702,2016,1,95,21,19703,13.72596801
48,301728,"Mobile County, AL",42679,2016,1,97,19.5,79364,12.39202455
49,15173,"Monroe County, AL",2128,2016,1,99,25.7,5472,12.29986706
50,164398,"Montgomery County, AL",20575,2016,1,101,18.8,40760,11.12324501
51,86615,"Morgan County, AL",10877,2016,1,103,15.8,18457,11.15681287
52,6200,"Perry County, AL",786,2016,1,105,35,3066,11.25107358
53,13101,"Pickens County, AL",1734,2016,1,107,25.8,4756,11.68857432
54,22764,"Pike County, AL",3347,2016,1,109,25.1,7793,12.81835242
55,15609,"Randolph County, AL",2121,2016,1,111,21.8,4839,11.96277496
56,44338,"Russell County, AL",5370,2016,1,113,19.3,11108,10.80309005
57,65335,"St. Clair County, AL",6805,2016,1,115,12,10352,9.433046853
58,166575,"Shelby County, AL",13311,2016,1,117,7.9,16406,7.399686468
59,8633,"Sumter County, AL",1276,2016,1,119,32.4,3933,12.87718236
60,57552,"Talladega County, AL",6266,2016,1,121,18,13864,9.818546492
61,28477,"Tallapoosa County, AL",3417,2016,1,123,20.2,8111,10.71361385
62,154811,"Tuscaloosa County, AL",15705,2016,1,125,17.6,34384,9.210279387
63,45998,"Walker County, AL",5959,2016,1,127,20.5,13097,11.46909945
64,11879,"Washington County, AL",1783,2016,1,129,18.2,3018,13.05079783
65,7811,"Wilcox County, AL",919,2016,1,131,31.9,3466,10.52691867
66,16256,"Winston County, AL",2403,2016,1,133,17.3,4061,12.87850367
67,2027,"Aleutians East Borough, AK",1019,2016,2,13,14.8,487,33.45370978
68,3956,"Aleutians West Census Area, AK",1134,2016,2,16,8,438,22.27897839
69,229365,"Anchorage Borough, AK",33891,2016,2,20,7.2,21108,12.87378065
70,12518,"Bethel Census Area, AK",3931,2016,2,50,25.5,4502,23.89810931
71,598,"Bristol Bay Borough, AK",178,2016,2,60,11.4,100,22.93814433
72,1500,"Denali Borough, AK",255,2016,2,68,6.3,121,14.52991453
73,3578,"Dillingham Census Area, AK",943,2016,2,70,19.6,965,20.85821721
74,75560,"Fairbanks North Star Borough, AK",11887,2016,2,90,8.5,8144,13.59337656
75,1603,"Haines Borough, AK",413,2016,2,100,10.3,257,20.48611111
76,1271,"Hoonah-Angoon Census Area, AK",430,2016,2,105,19.1,397,25.2792475
77,24271,"Juneau Borough, AK",3658,2016,2,110,7.4,2334,13.09749723
78,39555,"Kenai Peninsula Borough, AK",8646,2016,2,122,12,6835,17.93738719
